   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 15.48866  0.000000  0.000000  0.000000 0.000000     0.102  0.038  0.016  0.007  0.018   0.0   0.0   0.0 0.000     0.238  0.276  0.114  0.084  0.070   0.0   0.0   0.0 0.005    0.994
  2.0 15.63953 -0.058754  0.065667 -0.084796 0.122288     0.020  0.053  0.046  0.063  0.058   0.0   0.0   0.0 0.004     0.113  0.112  0.069  0.250  0.176   0.0   0.0   0.0 0.006    0.996
  3.0 15.67313 -0.117507  0.131334 -0.169591 0.244577     0.013  0.162  0.023  0.040  0.079   0.0   0.0   0.0 0.002     0.075  0.272  0.033  0.073  0.184   0.0   0.0   0.0 0.006    0.990
  4.0 15.59706  0.176261 -0.197001  0.254387 0.366865     0.045  0.053  0.045  0.016  0.069   0.0   0.0   0.0 0.007     0.275  0.085  0.085  0.100  0.165   0.0   0.0   0.0 0.006    0.983
  5.0 15.67313  0.117507 -0.131334  0.169591 0.244577     0.013  0.162  0.023  0.040  0.079   0.0   0.0   0.0 0.002     0.075  0.272  0.033  0.073  0.184   0.0   0.0   0.0 0.006    0.990
  6.0 15.63953  0.058754 -0.065667  0.084796 0.122288     0.020  0.053  0.046  0.063  0.058   0.0   0.0   0.0 0.004     0.113  0.112  0.069  0.250  0.176   0.0   0.0   0.0 0.006    0.996
  7.0 15.57490  0.063119  0.063522 -0.094751 0.130372     0.101  0.069  0.014  0.025  0.051   0.0   0.0   0.0 0.000     0.245  0.130  0.076  0.110  0.163   0.0   0.0   0.0 0.000    0.995
  8.0 15.63932  0.004365  0.129189 -0.179546 0.221237     0.034  0.020  0.037  0.060  0.124   0.0   0.0   0.0 0.000     0.090  0.059  0.091  0.143  0.305   0.0   0.0   0.0 0.003    0.995
  9.0 15.54423 -0.054389  0.194856 -0.264342 0.332872     0.018  0.093  0.007  0.003  0.020   0.0   0.0   0.0 0.032     0.119  0.455  0.030  0.020  0.071   0.0   0.0   0.0 0.085    0.981
 10.0 15.68642  0.239380 -0.133478  0.159636 0.317180     0.059  0.051  0.100  0.039  0.052   0.0   0.0   0.0 0.010     0.141  0.113  0.093  0.086  0.186   0.0   0.0   0.0 0.034    0.987
 11.0 15.73610  0.180626 -0.067812  0.074840 0.206943     0.031  0.051  0.095  0.177  0.048   0.0   0.0   0.0 0.004     0.091  0.072  0.114  0.117  0.166   0.0   0.0   0.0 0.006    0.994
 12.0 15.63289  0.121873 -0.002145 -0.009955 0.122297     0.049  0.012  0.069  0.084  0.019   0.0   0.0   0.0 0.006     0.068  0.079  0.126  0.313  0.121   0.0   0.0   0.0 0.022    0.995
 13.0 15.58040  0.126238  0.127044 -0.189502 0.260744     0.020  0.075  0.018  0.029  0.063   0.0   0.0   0.0 0.000     0.145  0.245  0.109  0.140  0.128   0.0   0.0   0.0 0.001    0.996
 14.0 15.55814  0.067484  0.192711 -0.274297 0.341951     0.147  0.009  0.065  0.031  0.054   0.0   0.0   0.0 0.006     0.249  0.084  0.113  0.109  0.085   0.0   0.0   0.0 0.013    0.994
 15.0 15.61507  0.008730  0.258378 -0.359093 0.442474     0.054  0.019  0.017  0.014  0.020   0.0   0.0   0.0 0.003     0.194  0.112  0.159  0.043  0.309   0.0   0.0   0.0 0.031    0.993
 16.0 15.68115  0.302499 -0.069956  0.064885 0.317190     0.098  0.037  0.047  0.041  0.078   0.0   0.0   0.0 0.007     0.196  0.098  0.108  0.054  0.182   0.0   0.0   0.0 0.021    0.992
 17.0 15.67342  0.243745 -0.004289 -0.019911 0.244595     0.152  0.038  0.013  0.084  0.044   0.0   0.0   0.0 0.003     0.259  0.101  0.035  0.097  0.126   0.0   0.0   0.0 0.003    0.989
 18.0 15.64198  0.184992  0.061378 -0.104706 0.221252     0.041  0.019  0.049  0.093  0.111   0.0   0.0   0.0 0.000     0.045  0.071  0.117  0.173  0.249   0.0   0.0   0.0 0.000    0.995
