   ik     e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz  AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz  AuS  |psi|^2
  1.0 -40.29579  0.000000  0.000000  0.000000 0.000000       0.0    0.0    0.0    0.0    0.0 0.287 0.443 0.264  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
  2.0 -40.29764 -0.058754  0.065667 -0.084796 0.122288       0.0    0.0    0.0    0.0    0.0 0.369 0.366 0.262  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
  3.0 -40.29741 -0.117507  0.131334 -0.169591 0.244577       0.0    0.0    0.0    0.0    0.0 0.381 0.365 0.252  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
  4.0 -40.29665  0.176261 -0.197001  0.254387 0.366865       0.0    0.0    0.0    0.0    0.0 0.532 0.269 0.193  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
  5.0 -40.29741  0.117507 -0.131334  0.169591 0.244577       0.0    0.0    0.0    0.0    0.0 0.381 0.365 0.252  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
  6.0 -40.29764  0.058754 -0.065667  0.084796 0.122288       0.0    0.0    0.0    0.0    0.0 0.369 0.366 0.262  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
  7.0 -40.29724  0.063119  0.063522 -0.094751 0.130372       0.0    0.0    0.0    0.0    0.0 0.367 0.388 0.243  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
  8.0 -40.29630  0.004365  0.129189 -0.179546 0.221237       0.0    0.0    0.0    0.0    0.0 0.382 0.366 0.250  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
  9.0 -40.29783 -0.054389  0.194856 -0.264342 0.332872       0.0    0.0    0.0    0.0    0.0 0.495 0.346 0.155  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
 10.0 -40.29676  0.239380 -0.133478  0.159636 0.317180       0.0    0.0    0.0    0.0    0.0 0.436 0.362 0.200  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
 11.0 -40.29845  0.180626 -0.067812  0.074840 0.206943       0.0    0.0    0.0    0.0    0.0 0.412 0.300 0.284  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
 12.0 -40.29765  0.121873 -0.002145 -0.009955 0.122297       0.0    0.0    0.0    0.0    0.0 0.316 0.445 0.235  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
 13.0 -40.29527  0.126238  0.127044 -0.189502 0.260744       0.0    0.0    0.0    0.0    0.0 0.457 0.259 0.281  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
 14.0 -40.29840  0.067484  0.192711 -0.274297 0.341951       0.0    0.0    0.0    0.0    0.0 0.359 0.370 0.268  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
 15.0 -40.29920  0.008730  0.258378 -0.359093 0.442474       0.0    0.0    0.0    0.0    0.0 0.350 0.324 0.322  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
 16.0 -40.29657  0.302499 -0.069956  0.064885 0.317190       0.0    0.0    0.0    0.0    0.0 0.395 0.323 0.277  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
 17.0 -40.29768  0.243745 -0.004289 -0.019911 0.244595       0.0    0.0    0.0    0.0    0.0 0.287 0.443 0.267  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
 18.0 -40.29685  0.184992  0.061378 -0.104706 0.221252       0.0    0.0    0.0    0.0    0.0 0.278 0.447 0.272  0.0       0.0    0.0    0.0    0.0    0.0   0.0   0.0   0.0  0.0      1.0
